,Source Account,Text,Date,Compound Score,Positive Score,Neutral Score,Negative Score
0,BBC,"😂🙊 Who has a filthier mouth, Jennifer Lawrence or James McAvoy? https://t.co/lOfGcHVo6R",2018-03-06 19:30:06+00:00,0.0,0.0,1.0,0.0
1,BBC,"A diver swims through a thick soup of plastic waste near Bali.
https://t.co/W8GJNKq8rm",2018-03-06 18:30:07+00:00,-0.4215,0.0,0.781,0.219
2,BBC,"Every day around the UK, an army of unpaid volunteers put their lives on the line to try and save complete stranger… https://t.co/W3Fel1iPSK",2018-03-06 18:03:04+00:00,0.4939,0.127,0.873,0.0
3,BBC,"Impressive and terrifying in equal measure. 

This woman doesn't just sleepwalk... she sleep-drives too. https://t.co/Ovwb4dNaYJ",2018-03-06 17:30:07+00:00,-0.1027,0.165,0.65,0.185
4,BBC,RT @bbcwritersroom: New #Brexit #comedy Soft Border Patrol is set on the border between #NorthernIreland and the Republic of #Ireland. We p…,2018-03-06 17:25:44+00:00,0.0,0.0,1.0,0.0
5,BBC,🐧 Scientists have stumbled across a huge group of previously unknown Adélie penguins on the most northerly point of… https://t.co/3GQ8PlQyMY,2018-03-06 17:02:04+00:00,0.3182,0.119,0.881,0.0
6,BBC,"Too many Lego bricks is a problem many parents will sympathise with, but now the toy firm itself has admitted it ha… https://t.co/4J0whItWAN",2018-03-06 15:30:10+00:00,-0.0644,0.068,0.853,0.079
7,BBC,RT @bbccomedy: Nothing says welcome to the neighbourhood quite like everyone's favourite busybody 😂#TwoDoorsDown https://t.co/dClRm13dm9,2018-03-06 14:44:33+00:00,0.6997,0.308,0.692,0.0
8,BBC,"🍻 Cheers to that! 

Pubs will be allowed to stay open later than usual to give everyone a chance to celebrate Princ… https://t.co/K7toUnOwSG",2018-03-06 14:30:05+00:00,0.8439,0.336,0.664,0.0
9,BBC,"Tickets, food wrappers and posters provide a fascinating insight into the creativity of North Korea, and the image… https://t.co/oe4tZwlBJw",2018-03-06 13:48:06+00:00,0.7269,0.276,0.724,0.0
10,BBC,"RT @bbcthree: No you can't cure depression with meditation, kale or by simply cheering up. https://t.co/gsM8lRX6N2",2018-03-06 13:12:33+00:00,0.6246,0.293,0.605,0.102
11,BBC,RT @BBCScotlandNews: A giant three-dimensional concrete map of Scotland is to be officially unveiled next month in the Borders https://t.co…,2018-03-06 13:11:26+00:00,0.0,0.0,1.0,0.0
12,BBC,"👟♻️ British designer Anna Bullus is on a mission to recycle chewing gum into useful objects, cleaning up our street… https://t.co/WbBeJSXXqF",2018-03-06 13:10:12+00:00,0.4404,0.132,0.868,0.0
13,BBC,What happened to the beautiful Opal Reef that was one of the stars of David Attenborough's #BluePlanet2? https://t.co/RMNYfrBbdK,2018-03-06 12:30:05+00:00,0.5994,0.187,0.813,0.0
14,BBC,"RT @BBCSportWales: We could watch this all day! 

Welcome to the wonderful world of football analogies - starring @SwansOfficial manager Ca…",2018-03-06 10:18:16+00:00,0.7901,0.28,0.72,0.0
15,BBC,🐒❤️ This baby chimp is being flown to a new home in DR Congo after it was rescued from poachers. https://t.co/rUZzDVLBt8,2018-03-06 09:00:05+00:00,0.4215,0.128,0.872,0.0
16,BBC,💍🙅 Crippling costs and parents' split-ups could be to blame for the declining number of marriages between men and w… https://t.co/avVWNgx3jH,2018-03-06 08:30:10+00:00,-0.2732,0.057,0.837,0.106
17,BBC,"We've all heard thunder before, but what does lightning sound like? ⚡️🤔https://t.co/3BGKK7iukQ",2018-03-06 08:03:02+00:00,0.5023,0.228,0.772,0.0
18,BBC,😂 Who actually watched the #Oscars? https://t.co/opThFzy37n,2018-03-05 19:30:07+00:00,0.0,0.0,1.0,0.0
19,BBC,"No meat. No fish. No eggs. No milk. No cheese. How hard is it to go vegan for a month? 

🥦🥑🍏 Nesta McGregor investi… https://t.co/1UBRGqIOp6",2018-03-05 18:38:04+00:00,-0.8555,0.0,0.592,0.408
